id,company_id/id,currency_id/id,tag_ids/id,name,code,account_type,reconcile,create_asset,deprecated,opening_credit,opening_debit,opening_balance
marin.account_101_01_001_company_lmmr,marin.company_lmmr,,,Cash main,101.01.001,Bank and Cash,,No,,,,
marin.account_102_01_000_company_lmmr,marin.company_lmmr,,,Bank suspense account,102.01.000,Current Assets,,No,,,,
marin.account_102_01_001_company_lmmr,marin.company_lmmr,,,Bank BBVA 0478986592,102.01.001,Bank and Cash,,No,,,,
marin.account_102_01_002_company_lmmr,marin.company_lmmr,,,Bank BBVA 0110152269,102.01.002,Bank and Cash,,No,,,,
marin.account_102_01_003_company_lmmr,marin.company_lmmr,,,Bank Efectivale - Expenses,102.01.003,Bank and Cash,,No,,,,
marin.account_102_01_004_company_lmmr,marin.company_lmmr,,,Bank BanBajio 0038383038,102.01.004,Bank and Cash,,No,,,,
marin.account_102_01_010_company_lmmr,marin.company_lmmr,,,Bank BBVA Payroll,102.01.010,Bank and Cash,,No,,,,
marin.account_102_01_111_company_lmmr,marin.company_lmmr,,,Liquidity transfer,102.01.111,Current Assets,True,No,,,,
marin.account_105_01_001_company_lmmr,marin.company_lmmr,,,Domestic customers FF,105.01.001,Receivable,True,No,,,,
marin.account_105_01_002_company_lmmr,marin.company_lmmr,,,Domestic customers NF,105.01.002,Receivable,True,No,,,,
marin.account_113_01_001_company_lmmr,marin.company_lmmr,,,VAT in favor,113.01.001,Current Assets,,No,,,,
marin.account_113_02_001_company_lmmr,marin.company_lmmr,,,Income tax in favor,113.02.001,Current Assets,,No,,,,
marin.account_113_08_001_company_lmmr,marin.company_lmmr,,,Other taxes in favor,113.08.001,Current Assets,,No,,,,
marin.account_114_01_001_company_lmmr,marin.company_lmmr,,,Provisional income tax payments,114.01.001,Current Assets,,No,,,,
marin.account_115_01_001_company_lmmr,marin.company_lmmr,,,Inventory FF,115.01.001,Current Assets,,No,,,,
marin.account_115_01_002_company_lmmr,marin.company_lmmr,,,Inventory NF,115.01.002,Current Assets,,No,,,,
marin.account_118_01_001_company_lmmr,marin.company_lmmr,,,Paid VAT creditable,118.01.001,Current Assets,,No,,,,
marin.account_118_03_001_company_lmmr,marin.company_lmmr,,,Paid IEPS creditable,118.03.001,Current Assets,,No,,,,
marin.account_119_01_001_company_lmmr,marin.company_lmmr,,,Unpaid VAT creditable,119.01.001,Current Assets,True,No,,,,
marin.account_119_01_002_company_lmmr,marin.company_lmmr,,,Non-deductible unpaid VAT,119.01.002,Current Liabilities,True,No,,,,
marin.account_119_03_001_company_lmmr,marin.company_lmmr,,,Unpaid IEPS creditable,119.03.001,Current Assets,True,No,,,,
marin.account_120_01_001_company_lmmr,marin.company_lmmr,,,Domestic suppliers advance FF,120.01.001,Prepayments,True,No,,,,
marin.account_120_01_002_company_lmmr,marin.company_lmmr,,,Domestic suppliers advance NF,120.01.002,Prepayments,True,No,,,,
marin.account_151_01_001_company_lmmr,marin.company_lmmr,,,Lands FF,151.01.001,Fixed Assets,,Create in draft,,,,
marin.account_151_01_002_company_lmmr,marin.company_lmmr,,,Lands NF,151.01.002,Fixed Assets,,Create in draft,,,,
marin.account_153_01_001_company_lmmr,marin.company_lmmr,,,Machinery and equipment FF,153.01.001,Fixed Assets,,Create in draft,,,,
marin.account_153_01_002_company_lmmr,marin.company_lmmr,,,Machinery and equipment NF,153.01.002,Fixed Assets,,Create in draft,,,,
marin.account_154_01_001_company_lmmr,marin.company_lmmr,,,"Automobiles, trucks, forklifts and trailers FF",154.01.001,Fixed Assets,,Create in draft,,,,
marin.account_154_01_002_company_lmmr,marin.company_lmmr,,,"Automobiles, trucks, forklifts and trailers NF",154.01.002,Fixed Assets,,Create in draft,,,,
