"id","company_id/id","currency_id/id","active","sequence","display_on_invoice","name","line_ids/id","line_ids/delay_type","line_ids/value","line_ids/nb_days","line_ids/value_amount"
"account_payment_term_101","","base.MXN","True","64","True","4.00%","account_payment_term_line_101","Days after invoice date","Percent","0","96.0"
"","","","","","","","account_payment_term_line_102","Days after invoice date","Percent","1","4.0"
"account_payment_term_102","","base.MXN","True","63","True","4.25%","account_payment_term_line_103","Days after invoice date","Percent","0","95.75"
"","","","","","","","account_payment_term_line_104","Days after invoice date","Percent","1","4.25"
"account_payment_term_103","","base.MXN","True","62","True","5.00%","account_payment_term_line_105","Days after invoice date","Percent","0","95.0"
"","","","","","","","account_payment_term_line_106","Days after invoice date","Percent","1","5.0"
"account_payment_term_104","","base.MXN","True","61","True","6.00%","account_payment_term_line_107","Days after invoice date","Percent","0","94.0"
"","","","","","","","account_payment_term_line_108","Days after invoice date","Percent","1","6.0"
"account_payment_term_105","","base.MXN","True","60","True","6.50%","account_payment_term_line_109","Days after invoice date","Percent","0","93.5"
"","","","","","","","account_payment_term_line_110","Days after invoice date","Percent","1","6.5"
"account_payment_term_106","","base.MXN","","38","True","7% + 6%","account_payment_term_line_111","Days after invoice date","Percent","0","87.42"
"","","","","","","","account_payment_term_line_112","Days after invoice date","Percent","1","12.58"
"account_payment_term_107","","base.MXN","","37","True","7% + 7%","account_payment_term_line_113","Days after invoice date","Percent","0","86.49"
"","","","","","","","account_payment_term_line_114","Days after invoice date","Percent","1","13.51"
"account_payment_term_108","","base.MXN","True","59","True","7.00%","account_payment_term_line_115","Days after invoice date","Percent","0","93.0"
"","","","","","","","account_payment_term_line_116","Days after invoice date","Percent","1","7.0"
"account_payment_term_109","","base.MXN","True","58","True","7.08%","account_payment_term_line_117","Days after invoice date","Percent","0","92.92"
"","","","","","","","account_payment_term_line_118","Days after invoice date","Percent","1","7.08"
"account_payment_term_110","","base.MXN","True","57","True","7.37%","account_payment_term_line_119","Days after invoice date","Percent","0","92.63"
"","","","","","","","account_payment_term_line_120","Days after invoice date","Percent","1","7.37"
"account_payment_term_111","","base.MXN","True","56","True","7.40%","account_payment_term_line_121","Days after invoice date","Percent","0","92.6"
"","","","","","","","account_payment_term_line_122","Days after invoice date","Percent","1","7.4"
"account_payment_term_112","","base.MXN","True","55","True","7.50%","account_payment_term_line_123","Days after invoice date","Percent","0","92.5"
"","","","","","","","account_payment_term_line_124","Days after invoice date","Percent","1","7.5"
"account_payment_term_113","","base.MXN","True","54","True","7.64%","account_payment_term_line_125","Days after invoice date","Percent","0","92.36"
"","","","","","","","account_payment_term_line_126","Days after invoice date","Percent","1","7.64"
"account_payment_term_114","","base.MXN","True","53","True","7.72%","account_payment_term_line_127","Days after invoice date","Percent","0","92.28"
"","","","","","","","account_payment_term_line_128","Days after invoice date","Percent","1","7.72"
"account_payment_term_115","","base.MXN","True","36","True","8% + 8%","account_payment_term_line_129","Days after invoice date","Percent","0","84.64"
"","","","","","","","account_payment_term_line_130","Days after invoice date","Percent","1","15.36"
"account_payment_term_116","","base.MXN","","34","True","8% + 9%","account_payment_term_line_131","Days after invoice date","Percent","0","83.72"
"","","","","","","","account_payment_term_line_132","Days after invoice date","Percent","1","16.28"
"account_payment_term_117","","base.MXN","True","50","True","8.00%","account_payment_term_line_133","Days after invoice date","Percent","0","92.0"
"","","","","","","","account_payment_term_line_134","Days after invoice date","Percent","1","8.0"
"account_payment_term_118","","base.MXN","True","52","True","8.00% UPL por terceros","account_payment_term_line_135","Days after invoice date","Percent","0","100.0"
"account_payment_term_119","","base.MXN","","51","True","8.00% UPL precio directo","account_payment_term_line_136","Days after invoice date","Percent","0","100.0"
"account_payment_term_120","","base.MXN","True","49","True","8.50%","account_payment_term_line_137","Days after invoice date","Percent","0","91.5"
"","","","","","","","account_payment_term_line_140","Days after invoice date","Percent","1","8.5"
"account_payment_term_121","","base.MXN","True","48","True","8.70%","account_payment_term_line_138","Days after invoice date","Percent","0","91.3"
"","","","","","","","account_payment_term_line_139","Days after invoice date","Percent","1","8.7"
"account_payment_term_122","","base.MXN","True","47","True","9.00%","account_payment_term_line_141","Days after invoice date","Percent","0","91.0"
"","","","","","","","account_payment_term_line_142","Days after invoice date","Percent","1","9.0"
"account_payment_term_123","","base.MXN","True","46","True","9.50%","account_payment_term_line_143","Days after invoice date","Percent","0","90.5"
"","","","","","","","account_payment_term_line_144","Days after invoice date","Percent","1","9.5"
"account_payment_term_124","","base.MXN","True","45","True","10.00%","account_payment_term_line_145","Days after invoice date","Percent","0","90.0"
"","","","","","","","account_payment_term_line_146","Days after invoice date","Percent","1","10.0"
"account_payment_term_125","","base.MXN","True","44","True","10.51%","account_payment_term_line_147","Days after invoice date","Percent","0","89.49"
"","","","","","","","account_payment_term_line_148","Days after invoice date","Percent","1","10.51"
"account_payment_term_126","","base.MXN","True","43","True","10.68%","account_payment_term_line_149","Days after invoice date","Percent","0","89.32"
