"id","name","invoice_label","type_tax_use","amount_type","amount","include_base_amount","is_base_affected","analytic","tax_exigibility","l10n_mx_tax_type","l10n_mx_factor_type","cash_basis_transition_account_id/id","tax_group_id/id","country_id/id","sequence","active","repartition_line_ids/repartition_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id/id","repartition_line_ids/tag_ids/id"
"marin.account_tax_1001","DSA 5% - 601","DSA5%","Purchases","Percentage of Price","5.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_dsa_lmmr_1001","base.mx","63","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_52_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_52_001_lmmr",""
"marin.account_tax_1002","DSA 5% - 602","DSA5%","Purchases","Percentage of Price","5.0","","","True","Based on Invoice","IVA","Tasa","","marin.tax_group_dsa_lmmr_1001","base.mx","64","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_52_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_52_001_lmmr",""
"marin.account_tax_1003","IEPS 26.5%","IEPS26.5%","Purchases","Percentage of Price","26.5","True","","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmr","marin.tax_group_ieps_26_5_lmmr_1003","base.mx","49","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmr",""
"marin.account_tax_1004","IEPS 3% telecom 601","IEPS3% telecom","Purchases","Percentage of Price","3.0","","True","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmr","marin.tax_group_ieps_3_lmmr_1004","base.mx","3","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_50_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_601_50_001_lmmr",""
"marin.account_tax_1005","IEPS 3% telecom 602","IEPS3% telecom","Purchases","Percentage of Price","3.0","","True","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmr","marin.tax_group_ieps_3_lmmr_1004","base.mx","4","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_50_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_602_50_001_lmmr",""
"marin.account_tax_1006","IEPS 53%","IEPS53%","Purchases","Percentage of Price","53.0","True","True","True","Based on Payment","IEPS","Tasa","marin.account_119_03_001_lmmr","marin.tax_group_ieps_53_lmmr_1006","base.mx","54","True","Base","100.0","",""
"","","","","","","","","","","","","","","","","","of tax","100.0","marin.account_118_03_001_lmmr",""
"","","","","","","","","","","","","","","","","","Base","100.0","",""
