id,name,company_id/id,country_id/id,advance_tax_payment_account_id/id,tax_payable_account_id/id,tax_receivable_account_id/id,sequence
marin.tax_group_dsa_lmmr_1001,DSA,marin.company_lmmr,base.mx,,,,10
marin.tax_group_ieps_25_lmmr_1002,IEPS 25%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_ieps_26_5_lmmr_1003,IEPS 26.5%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_ieps_3_lmmr_1004,IEPS 3%,marin.company_lmmr,base.mx,,,,10
marin.tax_group_ieps_30_lmmr_1005,IEPS 30%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_ieps_53_lmmr_1006,IEPS 53%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_ieps_8_lmmr_1007,IEPS 8%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_ieps_pesticides_lmmr_1008,IEPS pesticides,marin.company_lmmr,base.mx,,,,11
marin.tax_group_ish_lmmr_1009,ISH,marin.company_lmmr,base.mx,,,,11
marin.tax_group_isr_retention_10_lmmr_1010,ISR retention 10%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_isr_retention_63_67_lmmr_1011,ISR retention 63.67%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_0_lmmr_1012,VAT 0%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_16_lmmr_1013,VAT 16%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_16_lmmr_1014,VAT 16%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_8_lmmr_1015,VAT 8%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_exempt_lmmr_1016,VAT exempt,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_retention_1_25_lmmr_1017,VAT retention 1.25%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_retention_10_lmmr_1018,VAT retention 10%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_retention_10_67_lmmr_1019,VAT retention 10.67%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_vat_retention_4_lmmr_1020,VAT retention 4%,marin.company_lmmr,base.mx,,,,11
marin.tax_group_dsa_tjgl_1021,DSA,marin.company_tjgl,base.mx,,,,10
marin.tax_group_ieps_25_tjgl_1022,IEPS 25%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_ieps_26_5_tjgl_1023,IEPS 26.5%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_ieps_3_tjgl_1024,IEPS 3%,marin.company_tjgl,base.mx,,,,10
marin.tax_group_ieps_30_tjgl_1025,IEPS 30%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_ieps_53_tjgl_1026,IEPS 53%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_ieps_8_tjgl_1027,IEPS 8%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_ieps_pesticides_tjgl_1028,IEPS pesticides,marin.company_tjgl,base.mx,,,,11
marin.tax_group_ish_tjgl_1029,ISH,marin.company_tjgl,base.mx,,,,11
marin.tax_group_isr_retention_10_tjgl_1030,ISR retention 10%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_isr_retention_63_67_tjgl_1031,ISR retention 63.67%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_vat_0_tjgl_1032,VAT 0%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_vat_8_tjgl_1033,VAT 8%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_vat_exempt_tjgl_1034,VAT exempt,marin.company_tjgl,base.mx,,,,11
marin.tax_group_vat_retention_1_25_tjgl_1035,VAT retention 1.25%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_vat_retention_10_tjgl_1036,VAT retention 10%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_vat_retention_10_67_tjgl_1037,VAT retention 10.67%,marin.company_tjgl,base.mx,,,,11
marin.tax_group_vat_retention_4_tjgl_1038,VAT retention 4%,marin.company_tjgl,base.mx,,,,11
