"id","company_id/id","warehouse_id/id","picking_type_id/id","route_id/id","location_src_id/id","location_dest_id/id","group_propagation_option","active","propagate_cancel","propagate_carrier","action","procure_method","auto","name"
"stock_rule_5001","marin.company_lmmr","marin.stock_warehouse_101","marin.stock_picking_type_1001","stock_route_1066","marin.stock_location_20","marin.stock_location_1002","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","MET1: Transito inter-almacen → Stock"
"stock_rule_5002","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1066","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5003","marin.company_lmmr","marin.stock_warehouse_101","marin.stock_picking_type_1002","stock_route_1067","marin.stock_location_1002","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","MET1: Stock → Transito inter-almacen"
"stock_rule_5004","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1034","stock_route_1067","marin.stock_location_20","marin.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5005","marin.company_lmmr","marin.stock_warehouse_103","marin.stock_picking_type_1024","stock_route_1068","marin.stock_location_1018","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","SJN: Stock → Transito inter-almacen"
"stock_rule_5006","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1034","stock_route_1068","marin.stock_location_20","marin.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5007","marin.company_lmmr","marin.stock_warehouse_102","marin.stock_picking_type_1013","stock_route_1069","marin.stock_location_1010","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","BAL1: Stock → Transito inter-almacen"
"stock_rule_5008","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1034","stock_route_1069","marin.stock_location_20","marin.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5009","marin.company_lmmr","marin.stock_warehouse_105","marin.stock_picking_type_1046","stock_route_1070","marin.stock_location_1034","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","PROVI: Stock → Transito inter-almacen"
"stock_rule_5010","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1034","stock_route_1070","marin.stock_location_20","marin.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5011","marin.company_lmmr","marin.stock_warehouse_108","marin.stock_picking_type_1079","stock_route_1071","marin.stock_location_1058","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","NOR: Stock → Transito inter-almacen"
"stock_rule_5012","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1034","stock_route_1071","marin.stock_location_20","marin.stock_location_1026","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Transito inter-almacen → Stock"
"stock_rule_5013","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1036","stock_route_1072","marin.stock_location_1026","marin.stock_location_1029","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Output"
"stock_rule_5014","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1072","marin.stock_location_1029","stock.stock_location_customers","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","CDG: Salida → Clientes"
"stock_rule_5015","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1073","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5016","marin.company_lmmr","marin.stock_warehouse_103","marin.stock_picking_type_1023","stock_route_1073","marin.stock_location_20","marin.stock_location_1018","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","SJN: Transito inter-almacen → Stock"
"stock_rule_5018","marin.company_lmmr","marin.stock_warehouse_102","marin.stock_picking_type_1012","stock_route_1074","marin.stock_location_20","marin.stock_location_1010","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","BAL1: Transito inter-almacen → Stock"
"stock_rule_5019","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1075","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5020","marin.company_lmmr","marin.stock_warehouse_105","marin.stock_picking_type_1045","stock_route_1075","marin.stock_location_20","marin.stock_location_1034","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","PROVI: Transito inter-almacen → Stock"
"stock_rule_5021","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1076","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5022","marin.company_lmmr","marin.stock_warehouse_108","marin.stock_picking_type_1078","stock_route_1076","marin.stock_location_20","marin.stock_location_1058","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","NOR: Transito inter-almacen → Stock"
"stock_rule_5023","marin.company_lmmr","marin.stock_warehouse_102","marin.stock_picking_type_1016","stock_route_1077","marin.stock_location_1106","marin.stock_location_1105","Propagate","True","","","Pull From","Take From Stock","Manual Operation","BAL1: Stock → Mostrador"
"stock_rule_5024","marin.company_lmmr","marin.stock_warehouse_103","marin.stock_picking_type_1027","stock_route_1078","marin.stock_location_1108","marin.stock_location_1105","Propagate","True","","","Pull From","Take From Stock","Manual Operation","SJN: Stock → Mostrador"
"stock_rule_5170","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1074","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Transito inter-almacen"
"stock_rule_5171","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock.route_warehouse0_mto","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","True","Pull From","Take From Stock, if unavailable, Trigger Another Rule","Manual Operation","CDG: Stock → Inter-warehouse transit (MTO)"
"stock_rule_5172","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1079","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Inter-warehouse transit"
"stock_rule_5173","marin.company_lmmr","marin.stock_warehouse_102","marin.stock_picking_type_1012","stock_route_1079","marin.stock_location_20","marin.stock_location_1010","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","BAL1: Inter-warehouse transit → Stock"
"stock_rule_5174","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock.route_warehouse0_mto","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","True","Pull From","Take From Stock, if unavailable, Trigger Another Rule","Manual Operation","CDG: Stock → Inter-warehouse transit (MTO)"
"stock_rule_5175","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1080","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Inter-warehouse transit"
"stock_rule_5176","marin.company_lmmr","marin.stock_warehouse_101","marin.stock_picking_type_1001","stock_route_1080","marin.stock_location_20","marin.stock_location_1002","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","SNT: Inter-warehouse transit → Stock"
"stock_rule_5177","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock.route_warehouse0_mto","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","True","Pull From","Take From Stock, if unavailable, Trigger Another Rule","Manual Operation","CDG: Stock → Inter-warehouse transit (MTO)"
"stock_rule_5178","marin.company_lmmr","marin.stock_warehouse_104","marin.stock_picking_type_1035","stock_route_1081","marin.stock_location_1026","marin.stock_location_20","Propagate","True","","","Pull From","Take From Stock","Manual Operation","CDG: Stock → Inter-warehouse transit"
"stock_rule_5179","marin.company_lmmr","marin.stock_warehouse_105","marin.stock_picking_type_1045","stock_route_1081","marin.stock_location_20","marin.stock_location_1034","Propagate","True","","","Pull From","Trigger Another Rule","Manual Operation","PROVI: Inter-warehouse transit → Stock"
