id,company_id/id,name,type,code,sequence,show_on_dashboard,color,refund_sequence,payment_sequence,x_treatment,currency_id/id,default_account_id/id,default_payable_account_id/id,default_receivable_account_id/id,default_refund_account_id/id,loss_account_id/id,profit_account_id/id,suspense_account_id/id
journal_501,base.main_company,Vendors advances NF,Cash,ANT00,17,,10,,,Not Fiscal real,,xiuman_data.account_120_01_002_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_502,base.main_company,Vendors advances FF,Cash,ANT01,16,,10,,,Fiscal real,,xiuman_data.account_120_01_001_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_503,base.main_company,Cash Main,Cash,EFC01,18,True,10,,,Not Fiscal real,,xiuman_data.account_101_01_001_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_504,base.main_company,Payments done by thirth party in name of the company FF,Cash,EFT,19,,10,,,Fiscal real,,xiuman_data.account_202_03_001_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_505,base.main_company,Bank BBVA 0110152269,Bank,BNC01,13,,10,,,Not Fiscal real,,xiuman_data.account_102_01_002_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_506,base.main_company,Bank BBVA Payroll,Bank,BNC02,14,,10,,,Not Fiscal real,,xiuman_data.account_102_01_010_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_507,base.main_company,Bank BBVA 0478986592,Bank,BNC03,10,True,10,,,Fiscal real,,xiuman_data.account_102_01_001_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_508,base.main_company,Bank BBVA CC 5435,Bank,BNC04,15,,10,,,Not Fiscal real,,xiuman_data.account_202_03_002_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_509,base.main_company,Bank Efectivale - Expenses,Bank,BNC05,12,,10,,,Not Fiscal real,,xiuman_data.account_102_01_003_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_510,base.main_company,Bank Banbajio 0038383038,Bank,BNC06,11,True,10,,,Not Fiscal real,,xiuman_data.account_102_01_004_main_company,,,,xiuman_data.account_304_02_002_main_company,xiuman_data.account_101_01_007_lmmr,xiuman_data.account_102_01_001_main_company
journal_511,base.main_company,Foreign Suppliers FF,Purchase,PEX,32,,6,True,,Fiscal real,,xiuman_data.account_201_02_001_main_company,xiuman_data.account_115_01_001_main_company,,,,,
