id,company_id/id,warehouse_id/id,default_location_src_id/id,default_location_dest_id/id,code,sequence_code,barcode,reservation_method,active,create_backorder,use_existing_lots,show_operations,show_reserved,sequence,name
stock_picking_type_1144,base.main_company,stock.warehouse0,,stock.stock_location_stock,Receipt,RTN,LMMG-RETURNS,At Confirmation,True,Ask,True,,True,150,Returns
stock_picking_type_1145,marin_data.company_lmmr,marin_data.stock_warehouse_2,,marin_data.stock_location_27,Receipt,RTN,LMMR-RETURNS,At Confirmation,,Ask,True,True,True,144,Returns
stock_picking_type_1146,marin_data.company_tjgl,marin_data.stock_warehouse_3,,marin_data.stock_location_41,Receipt,RTN,TJGL-RETURNS,At Confirmation,True,Ask,True,True,True,150,Returns
stock_picking_type_1147,marin_data.company_ammg,marin_data.stock_warehouse_4,,marin_data.stock_location_55,Receipt,RTN,AMMG-RETURNS,At Confirmation,True,Ask,True,True,True,150,Returns
stock_picking_type_1148,marin_data.company_cfmg,marin_data.stock_warehouse_5,,marin_data.stock_location_69,Receipt,RTN,CFMG-RETURNS,At Confirmation,True,Ask,True,True,True,150,Returns
stock_picking_type_1149,marin_data.company_glmm,marin_data.stock_warehouse_6,,marin_data.stock_location_83,Receipt,RTN,GLMM-RETURNS,At Confirmation,True,Ask,True,True,True,150,Returns
stock_picking_type_1150,marin_data.company_marin,marin_data.stock_warehouse_7,,marin_data.stock_location_97,Receipt,RTN,SAM-RETURNS,At Confirmation,True,Ask,True,True,True,150,Returns
stock_picking_type_1151,marin_data.company_lmmr,marin_data.stock_warehouse_101,,marin_data.stock_location_1002,Receipt,RTN,SNT-RETURN,At Confirmation,,Always,True,True,,47,Returns
stock_picking_type_1152,marin_data.company_lmmr,marin_data.stock_warehouse_102,,marin_data.stock_location_1010,Receipt,RTN,BAL1-RETURN,At Confirmation,True,Always,True,True,,50,Returns
stock_picking_type_1153,marin_data.company_lmmr,marin_data.stock_warehouse_103,,marin_data.stock_location_1018,Receipt,RTN,SJN-RETURN,At Confirmation,True,Always,True,True,,51,Returns
stock_picking_type_1154,marin_data.company_lmmr,marin_data.stock_warehouse_104,,marin_data.stock_location_1026,Receipt,RTN,CDG-RETURNS,At Confirmation,True,Always,True,True,,52,Returns
stock_picking_type_1155,marin_data.company_lmmr,marin_data.stock_warehouse_105,,marin_data.stock_location_1034,Receipt,RTN,PROVI-RETURNS,At Confirmation,,Ask,True,True,True,145,Returns
stock_picking_type_1156,marin_data.company_lmmr,marin_data.stock_warehouse_106,,marin_data.stock_location_1042,Receipt,RTN,SLJ-RETURNS,At Confirmation,,Ask,True,True,True,146,Returns
stock_picking_type_1157,marin_data.company_lmmr,marin_data.stock_warehouse_107,,marin_data.stock_location_1050,Receipt,RTN,TONA-RETURNS,At Confirmation,,Ask,True,True,True,147,Returns
stock_picking_type_1158,marin_data.company_lmmr,marin_data.stock_warehouse_108,,marin_data.stock_location_1058,Receipt,RTN,CDO-RETURNS,At Confirmation,True,Always,True,True,,53,Returns
stock_picking_type_1159,marin_data.company_lmmr,marin_data.stock_warehouse_109,,marin_data.stock_location_1066,Receipt,RTN,LOM-RETURNS,At Confirmation,,Ask,True,True,True,148,Returns
stock_picking_type_1160,marin_data.company_lmmr,marin_data.stock_warehouse_110,,marin_data.stock_location_1074,Receipt,RTN,MICH-RETURN,At Confirmation,True,Always,True,True,,54,Returns
stock_picking_type_1161,marin_data.company_lmmr,marin_data.stock_warehouse_111,,marin_data.stock_location_1082,Receipt,RTN,SALT-RETURN,At Confirmation,True,Always,True,True,,55,Returns
stock_picking_type_1162,marin_data.company_lmmr,marin_data.stock_warehouse_112,,marin_data.stock_location_1090,Receipt,RTN,LMO-RETURNS,At Confirmation,True,Ask,True,True,True,56,Returns
stock_picking_type_1163,marin_data.company_lmmr,marin_data.stock_warehouse_113,,marin_data.stock_location_1098,Receipt,RTN,PER-RETURNS,At Confirmation,True,Ask,True,True,True,57,Returns
stock_picking_type_1164,marin_data.company_lmmr,marin_data.stock_warehouse_101,marin_data.stock_location_1002,marin_data.stock_location_1026,Internal Transfer,INTER,SNT-INTER-CDG,Manually,True,Never,True,True,True,58,Interwarehouse SNT-CDG
stock_picking_type_1165,marin_data.company_lmmr,marin_data.stock_warehouse_101,marin_data.stock_location_1002,marin_data.stock_location_1018,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,185,Interwarehouse SNT-SJN
stock_picking_type_1166,marin_data.company_lmmr,marin_data.stock_warehouse_101,marin_data.stock_location_1002,marin_data.stock_location_1010,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,186,Interwarehouse SNT-BAL1
stock_picking_type_1167,marin_data.company_lmmr,marin_data.stock_warehouse_101,marin_data.stock_location_1002,marin_data.stock_location_1034,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,187,Interwarehouse SNT-PROVI
stock_picking_type_1168,marin_data.company_lmmr,marin_data.stock_warehouse_101,marin_data.stock_location_1002,marin_data.stock_location_1050,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,188,Interwarehouse SNT-TONA
stock_picking_type_1169,marin_data.company_lmmr,marin_data.stock_warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_1002,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,189,Interwarehouse BAL1-SNT
stock_picking_type_1170,marin_data.company_lmmr,marin_data.stock_warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_1026,Internal Transfer,INTER,BAL1-INTER-CDG,Manually,True,Never,True,True,True,59,Interwarehouse BAL1-CDG
stock_picking_type_1171,marin_data.company_lmmr,marin_data.stock_warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_1018,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,190,Interwarehouse BAL1-SJN
stock_picking_type_1172,marin_data.company_lmmr,marin_data.stock_warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_1034,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,191,Interwarehouse BAL1-PROVI
stock_picking_type_1173,marin_data.company_lmmr,marin_data.stock_warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_1042,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,192,Interwarehouse BAL1-SLJ
stock_picking_type_1174,marin_data.company_lmmr,marin_data.stock_warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_1050,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,193,Interwarehouse BAL1-TONA
stock_picking_type_1175,marin_data.company_lmmr,marin_data.stock_warehouse_102,marin_data.stock_location_1010,marin_data.stock_location_1058,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,194,Interwarehouse BAL1-NOR
stock_picking_type_1176,marin_data.company_lmmr,marin_data.stock_warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_1002,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,195,Interwarehouse SJN-SNT
stock_picking_type_1177,marin_data.company_lmmr,marin_data.stock_warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_1026,Internal Transfer,INTER,SNJ-INTER-CDG,Manually,True,Never,True,True,True,60,Interwarehouse SJN-CDG
stock_picking_type_1178,marin_data.company_lmmr,marin_data.stock_warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_1010,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,196,Interwarehouse SJN-BAL1
stock_picking_type_1179,marin_data.company_lmmr,marin_data.stock_warehouse_103,marin_data.stock_location_1018,marin_data.stock_location_1042,Internal Transfer,INTER,,At Confirmation,,Ask,True,True,True,197,Interwarehouse SJN-SLJ
