"id","brand_id/id","category_id/id","vendors/id","active","color","doors","default_fuel_type","model_year","transmission","vehicle_type","name"
"fleet_vehicle_model_46","fleet.brand_dodge","","","True","","0","","0","","Car","RAM 400"
"fleet_vehicle_model_47","fleet.brand_volkswagen","fleet_vehicle_model_category_3","","True","","2","Gasoline","0","","Car","Saveiro Robust cabina regular"
"fleet_vehicle_model_48","fleet.brand_toyota","fleet_vehicle_model_category_2","","True","","0","Diesel","0","","Car","Hilux doble cabina 4x4 diesel AT"
"fleet_vehicle_model_49","fleet.brand_volkswagen","","","True","","0","","0","","Car","Vento"
"fleet_vehicle_model_50","fleet.brand_toyota","fleet_vehicle_model_category_3","","True","","0","Gasoline","0","","Car","Hilux chasis"
"fleet_vehicle_model_51","fleet.brand_mercedes","","","True","","0","","0","","Car","Acterra"
"fleet_vehicle_model_52","fleet.brand_jeep","","","True","","0","","0","","Car","Wrangler"
"fleet_vehicle_model_53","fleet.brand_toyota","fleet_vehicle_model_category_4","","True","","0","Diesel","0","","Car","Hino 500"
"fleet_vehicle_model_54","fleet.brand_nissan","fleet_vehicle_model_category_3","","True","","0","Gasoline","0","","Car","NP Chasis"
"fleet_vehicle_model_55","fleet.brand_nissan","","","True","","0","","0","","Car","NP Frontier doble cabina 4x2"
"fleet_vehicle_model_56","fleet.brand_isuzu","fleet_vehicle_model_category_4","","True","Blanco","0","Diesel","2012","Manual","Car","Elf 300"
"fleet_vehicle_model_57","fleet.brand_toyota","fleet_vehicle_model_category_2","","True","","0","Gasoline","0","","Car","Tundra"
"fleet_vehicle_model_58","fleet.brand_ford","","","True","","0","","0","","Car","Lobo Raptor"
"fleet_vehicle_model_59","fleet.brand_porsche","","","True","","0","","0","","Car","Macan"
"fleet_vehicle_model_60","fleet.brand_porsche","","","True","","0","","0","","Car","Cayenne"
"fleet_vehicle_model_61","fleet.brand_mercedes","","","True","","0","Diesel","0","","Car","M2 Rabon"
"fleet_vehicle_model_62","fleet.brand_chevrolet","fleet_vehicle_model_category_5","","True","","4","Gasoline","0","Automatic","Car","Suburban"
"fleet_vehicle_model_63","fleet.brand_mercedes","","","True","","0","","0","","Car","Class GLS"
"fleet_vehicle_model_64","fleet.brand_toyota","fleet_vehicle_model_category_5","","True","","0","Gasoline","0","","Car","RAV4"
"fleet_vehicle_model_65","fleet.brand_toyota","fleet_vehicle_model_category_2","","True","","0","Gasoline","0","","Car","Tacoma TRD 4x2"
"fleet_vehicle_model_66","fleet.brand_nissan","","","True","","0","","0","","Car","Sentra"
"fleet_vehicle_model_67","fleet.brand_toyota","fleet_vehicle_model_category_1","","True","","0","LPG","0","","Car","32-8FG25"
"fleet_vehicle_model_68","fleet.brand_toyota","fleet_vehicle_model_category_1","","True","","0","LPG","0","","Car","32-8FG30"
"fleet_vehicle_model_69","fleet_vehicle_model_brand_67","","","True","","0","","0","","Car","N35ZDR2"
"fleet_vehicle_model_70","fleet_vehicle_model_brand_68","fleet_vehicle_model_category_6","","True","","0","Diesel","0","","Car","Cascadia"
"fleet_vehicle_model_71","fleet.brand_chevrolet","","","True","","0","","0","","Car","Aveo"
"fleet_vehicle_model_72","fleet.brand_mercedes","","","True","","0","","0","","Car","Class GLA"
"fleet_vehicle_model_73","fleet.brand_bmw","fleet_vehicle_model_category_5","","True","","0","Gasoline","0","","Car","X5(2)"
"fleet_vehicle_model_74","fleet.brand_nissan","","","True","","0","","0","","Car","Versa"
"fleet_vehicle_model_75","fleet_vehicle_model_brand_69","fleet_vehicle_model_category_7","","True","","0","Gasoline","0","","Car","Outlander"
"fleet_vehicle_model_76","fleet_vehicle_model_brand_69","","","True","","0","","0","","Car","Maverick"
"fleet_vehicle_model_77","fleet.brand_mitsubishi","fleet_vehicle_model_category_2","","True","","4","Diesel","0","","Car","L200 doble cabina 4x4 diesel AT"
"fleet_vehicle_model_78","fleet.brand_jeep","fleet_vehicle_model_category_5","","True","Verde","4","Gasoline","2010","Automatic","Car","Patriot"
"fleet_vehicle_model_79","fleet.brand_dodge","fleet_vehicle_model_category_3","","True","Blanca","2","Gasoline","2015","Manual","Car","RAM 700"
"fleet_vehicle_model_80","fleet.brand_mercedes","fleet_vehicle_model_category_5","","True","Gris Obscuro","4","Gasoline","2012","Manual","Car","Class GLK 300"
"fleet_vehicle_model_81","fleet.brand_volkswagen","fleet_vehicle_model_category_8","","True","Blanco","4","Gasoline","2023","Manual","Car","Jetta"
"fleet_vehicle_model_82","fleet_vehicle_model_brand_71","fleet_vehicle_model_category_5","","True","Blanca","5","Gasoline","2023","Automatic","Car","Terrain"
"fleet_vehicle_model_83","fleet_vehicle_model_brand_74","fleet_vehicle_model_category_6","","True","Gris","0","Diesel","0","","Car","Semiremolque/jaula 45 pies"
"fleet_vehicle_model_84","fleet_vehicle_model_brand_75","fleet_vehicle_model_category_6","","True","AMARILLO","2","Diesel","1982","Manual","Car","Chasis Cabina"
"fleet_vehicle_model_85","fleet_vehicle_model_brand_75","fleet_vehicle_model_category_6","","True","Azul","2","Diesel","1993","Manual","Car","Chasis Cabina"
"fleet_vehicle_model_86","fleet.brand_ford","fleet_vehicle_model_category_6","","True","Roja","2","Gasoline","2006","Manual","Car","F-350"
"fleet_vehicle_model_87","fleet_vehicle_model_brand_68","fleet_vehicle_model_category_6","","True","Blanco","2","Diesel","1997","Manual","Car","M2 Rabon"
"fleet_vehicle_model_88","fleet.brand_toyota","fleet_vehicle_model_category_2","","True","","0","Gasoline","0","","Car","Tacoma TRD 4x4"
"fleet_vehicle_model_89","fleet.brand_toyota","fleet_vehicle_model_category_2","","True","","0","Gasoline","0","","Car","Hilux doble cabina 4x2"
"fleet_vehicle_model_90","fleet.brand_mitsubishi","fleet_vehicle_model_category_2","","True","","4","Gasoline","0","","Car","L200 doble cabina 4x2 gasolina MT"
"fleet_vehicle_model_91","fleet.brand_toyota","fleet_vehicle_model_category_2","","True","","0","Diesel","0","","Car","Hilux doble cabina 4x4 diesel TM"
"fleet_vehicle_model_92","fleet.brand_toyota","","","True","","0","Diesel","0","","Car","Montacargas"
"fleet_vehicle_model_93","fleet.brand_toyota","","","True","","0","Diesel","0","","Car","Montacargas"
"fleet_vehicle_model_94","fleet_vehicle_model_brand_70","fleet_vehicle_model_category_2","","True","","0","Gasoline","0","","Car","Canyon"
"fleet_vehicle_model_95","fleet.brand_bmw","","","True","","0","Electric","0","","Car","X5"
