"id","company_id/id","supplied_wh_id/id","supplier_wh_id/id","active","packaging_selectable","product_selectable","product_categ_selectable","shipping_selectable","warehouse_selectable","sale_selectable","sequence","name"
"stock_route_1066","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_101","","True","","True","","","","","28","SNT: Resupply from CDG"
"stock_route_1067","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","","True","","True","","","","","23","CDG: Resupply from SNT"
"stock_route_1068","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","","True","","True","","","","","24","CDG: Resupply from SJN"
"stock_route_1069","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","","True","","True","","","","","25","CDG: Resupply from BAL1"
"stock_route_1070","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","","True","","True","","","","","26","CDG: Resupply from PROVI"
"stock_route_1071","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_104","","True","","True","","","","","27","CDG: Resupply from NOR"
"stock_route_1072","xiuman_data.company_lmmr","","","True","","","","","","True","4","CDG: Deliver in 2 steps (Ship + Deliver)"
"stock_route_1073","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_103","","True","","True","","","","","29","SJN: Resupply from CDG"
"stock_route_1074","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_102","","True","","True","","","","","31","BAL1: Resupply from CDG (Ship + Deliver)"
"stock_route_1075","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_109","","True","","True","","","","","33","LOM: Resupply from CDG"
"stock_route_1076","xiuman_data.company_lmmr","xiuman_data.stock_warehouse_108","","True","","True","","","","","34","CDO: Resupply from CDG"
